Wall time,Step,Value
1684863794.364205,0,1.5552012920379639
1684863805.0315669,100,4.243060111999512
1684863820.247658,200,2.2748870849609375
1684863830.599183,300,2.7627816200256348
1684863844.8946536,400,3.1211352348327637
1684863854.5674803,500,1.907939076423645
1684863869.1461337,600,2.136486530303955
1684863879.9397864,700,2.7296371459960938
1684863893.5365195,800,1.949415922164917
1684863904.1796696,900,2.4282069206237793
1684863918.889749,1000,2.3155391216278076
1684863929.5807073,1100,1.7447787523269653
1684863943.2113495,1200,2.016627311706543
1684863953.1682045,1300,2.56132173538208
1684863966.703382,1400,2.060112476348877
1684863976.4988503,1500,2.40041446685791
1684863990.1390638,1600,2.0912692546844482
1684864000.1429043,1700,1.7811071872711182
1684864013.7028801,1800,2.7676732540130615
1684864023.339759,1900,1.8442782163619995
1684864036.9137757,2000,2.374974489212036
1684864046.7211418,2100,1.6105456352233887
1684864060.2713172,2200,1.9848344326019287
1684864069.9141774,2300,1.505366325378418
1684864083.2477958,2400,1.9769749641418457
1684864093.1127195,2500,1.715985655784607
1684864106.9808707,2600,1.885335922241211
1684864117.3295386,2700,1.5149517059326172
1684864131.6133125,2800,2.7362029552459717
1684864142.0863469,2900,1.802258014678955
1684864156.0945752,3000,1.748915433883667
1684864165.8735752,3100,1.928260326385498
1684864179.7444365,3200,1.7292532920837402
1684864189.4804509,3300,1.6160331964492798
1684864203.2070599,3400,1.4930508136749268
1684864213.0659776,3500,1.4035052061080933
1684864226.5496612,3600,1.5195698738098145
1684864236.2658892,3700,1.2005059719085693
1684864250.1802287,3800,2.23234486579895
1684864260.4402308,3900,1.2961781024932861
1684864274.447157,4000,1.598879098892212
1684864285.043537,4100,1.084130048751831
1684864299.009312,4200,1.3850830793380737
1684864309.2498531,4300,1.2609107494354248
1684864323.7230093,4400,2.209562063217163
1684864334.1899724,4500,1.4300124645233154
1684864347.6757836,4600,1.4814218282699585
1684864357.4120138,4700,0.9205540418624878
1684864370.7228196,4800,1.8679583072662354
1684864380.407863,4900,1.112938404083252
1684864394.4152646,5000,2.008528470993042
1684864404.227306,5100,1.7624154090881348
1684864418.5000508,5200,1.9139080047607422
1684864428.7740495,5300,1.650994896888733
1684864441.99743,5400,2.0662014484405518
1684864451.5667481,5500,1.35702383518219
1684864464.8792772,5600,1.3096823692321777
1684864474.5786765,5700,1.370765209197998
1684864488.1686018,5800,1.8631783723831177
1684864497.7479062,5900,1.5795021057128906
1684864511.0662377,6000,1.441431999206543
1684864520.7215629,6100,1.4585862159729004
1684864534.0198128,6200,1.4701441526412964
1684864543.9494405,6300,1.3393402099609375
1684864557.259373,6400,1.7346816062927246
1684864566.9334824,6500,1.5636811256408691
1684864580.307204,6600,2.211602210998535
1684864589.9345806,6700,1.37578547000885
1684864603.4434175,6800,1.9631311893463135
1684864613.1423395,6900,1.3806641101837158
1684864626.8916426,7000,2.323014736175537
1684864637.1568172,7100,1.4813300371170044
1684864650.637462,7200,1.9088417291641235
1684864660.934009,7300,1.585641622543335
1684864674.5911288,7400,2.2663490772247314
1684864684.3175306,7500,1.472914695739746
1684864698.1963947,7600,1.8765661716461182
1684864708.693297,7700,1.4390007257461548
1684864722.939189,7800,2.076357841491699
1684864733.09312,7900,1.1438665390014648
1684864747.023914,8000,1.9360949993133545
1684864757.287667,8100,1.448061227798462
1684864771.7549975,8200,1.9741647243499756
1684864781.8826668,8300,1.4253522157669067
1684864795.8372521,8400,2.4870798587799072
1684864805.890934,8500,1.7513794898986816
1684864820.0036962,8600,1.7375009059906006
1684864830.073603,8700,1.8607699871063232
1684864844.0340211,8800,1.8074750900268555
1684864854.2594693,8900,1.424816370010376
1684864868.1791346,9000,2.9743967056274414
1684864878.2647705,9100,1.670586109161377
1684864892.2418525,9200,2.834333658218384
1684864902.4508367,9300,1.8439611196517944
1684864916.4194722,9400,2.0061192512512207
1684864926.6293135,9500,1.5790332555770874
